q0 0 q0_p0 1
q0 0 q0_p1 1
q1 0 q1_p0 1
q1 0 q1_p1 1
q2 0 q2_p1 1
q2 0 q2_p0 1
q3 0 q3_p0 1
q3 0 q3_p1 1
q4 0 q4_p1 1
q4 0 q4_p0 1
q5 0 q5_p0 1
q5 0 q5_p1 1
q6 0 q6_p1 1
q6 0 q6_p0 1
q7 0 q7_p1 1
q7 0 q7_p0 1
q8 0 q8_p0 1
q8 0 q8_p1 1
q9 0 q9_p1 1
q9 0 q9_p0 1
q10 0 q10_p1 1
q10 0 q10_p0 1
q11 0 q11_p1 1
q11 0 q11_p0 1
q12 0 q12_p0 1
q12 0 q12_p1 1
q13 0 q13_p1 1
q13 0 q13_p0 1
q14 0 q14_p1 1
q14 0 q14_p0 1
q15 0 q15_p1 1
q15 0 q15_p0 1
q16 0 q16_p1 1
q16 0 q16_p0 1
q17 0 q17_p0 1
q17 0 q17_p1 1
q18 0 q18_p0 1
q18 0 q18_p1 1
q19 0 q19_p0 1
q19 0 q19_p1 1
q20 0 q20_p0 1
q20 0 q20_p1 1
q21 0 q21_p1 1
q21 0 q21_p0 1
q22 0 q22_p0 1
q22 0 q22_p1 1
q23 0 q23_p1 1
q23 0 q23_p0 1
q24 0 q24_p1 1
q24 0 q24_p0 1
q25 0 q25_p0 1
q25 0 q25_p1 1
q26 0 q26_p0 1
q26 0 q26_p1 1
q27 0 q27_p1 1
q27 0 q27_p0 1
q28 0 q28_p0 1
q28 0 q28_p1 1
q29 0 q29_p1 1
q29 0 q29_p0 1
q30 0 q30_p0 1
q30 0 q30_p1 1
q31 0 q31_p0 1
q31 0 q31_p1 1
q32 0 q32_p0 1
q32 0 q32_p1 1
q33 0 q33_p1 1
q33 0 q33_p0 1
q34 0 q34_p0 1
q34 0 q34_p1 1
q35 0 q35_p0 1
q35 0 q35_p1 1
q36 0 q36_p1 1
q36 0 q36_p0 1
q37 0 q37_p1 1
q37 0 q37_p0 1
q38 0 q38_p1 1
q38 0 q38_p0 1
q39 0 q39_p1 1
q39 0 q39_p0 1
q40 0 q40_p1 1
q40 0 q40_p0 1
q41 0 q41_p0 1
q41 0 q41_p1 1
q42 0 q42_p0 1
q42 0 q42_p1 1
q43 0 q43_p0 1
q43 0 q43_p1 1
q44 0 q44_p1 1
q44 0 q44_p0 1
q45 0 q45_p1 1
q45 0 q45_p0 1
q46 0 q46_p1 1
q46 0 q46_p0 1
q47 0 q47_p0 1
q47 0 q47_p1 1
q48 0 q48_p1 1
q48 0 q48_p0 1
